Run,CellLine,Timepoint
ERR2497833,Pa01C,vehicle
ERR2497834,Pa01C,1h
ERR2497835,Pa01C,4h
ERR2497836,Pa01C,12h
ERR2497837,Pa01C,24h
ERR2497838,PANC-1,vehicle
ERR2497839,PANC-1,1h
ERR2497840,PANC-1,4h
ERR2497841,PANC-1,12h
ERR2497842,PANC-1,24h
ERR2497843,HPAC,vehicle
ERR2497844,HPAC,1h
ERR2497845,HPAC,4h
ERR2497846,HPAC,12h
ERR2497847,HPAC,24h
ERR2497848,Pa04C,vehicle
ERR2497849,Pa04C,1h
ERR2497850,Pa04C,4h
ERR2497851,Pa04C,12h
ERR2497852,Pa04C,24h
ERR2497853,SW1990,vehicle
ERR2497854,SW1990,1h
ERR2497855,SW1990,4h
ERR2497856,SW1990,12h
ERR2497857,SW1990,24h
ERR2497858,HPAF-II,vehicle
ERR2497859,HPAF-II,1h
ERR2497860,HPAF-II,4h
ERR2497861,HPAF-II,12h
ERR2497862,HPAF-II,24h
ERR2497863,Pa14C,vehicle
ERR2497864,Pa14C,1h
ERR2497865,Pa14C,4h
ERR2497866,Pa14C,12h
ERR2497867,Pa14C,24h
