"symbol","block"
"SPIDR","Block1"
"CEBPD","Block2"
"PRKDC","Block3"
"MCM4","Block3"
"UBE2V2","Block1"
"LOC101929268","Block4"
"SNAI2","Block4"
"SNTG1","Block5"
"PXDNL","Block2"
"PCMTD1","Block1"
"ST18","Block3"
"RB1CC1","Block3"
"NPBWR1","Block4"
"OPRK1","Block1"
"ATP6V1H","Block3"
"RGS20","Block3"
"TCEA1","Block3"
"LYPLA1","Block1"
"MRPL15","Block3"
"SOX17","Block2"
"RP1","Block2"
"TMEM68","Block1"
"TGS1","Block1"
"LYN","Block1"
"RPS20","Block3"
"PLAG1","Block1"
"CHCHD7","Block1"
"SDR16C5","Block1"
"FAM110B","Block4"
"UBXN2B","Block1"
"CYP7A1","Block6"
"SDCBP","Block1"
"NSMAF","Block1"
"TOX","Block4"
"CA8","Block5"
"RAB2A","Block3"
"CHD7","Block1"
"CLVS1","Block3"
"ASPH","Block3"
"NKAIN3","Block4"
"GGH","Block3"
"TTPA","Block5"
"YTHDF3","Block3"
"CYP7B1","Block5"
"ARMC1","Block3"
"MTFR1","Block3"
"PDE7A","Block3"
"DNAJC5B","Block4"
"TRIM55","Block4"
"CRH","Block4"
"RRS1","Block3"
"ADHFE1","Block5"
"MYBL1","Block4"
"VCPIP1","Block1"
"C8orf44-SGK3","Block4"
"C8orf44","Block1"
"SGK3","Block1"
"PTTG3P","Block1"
"MCMDC2","Block1"
"TCF24","Block3"
"COPS5","Block3"
"CSPP1","Block3"
"ARFGEF1","Block1"
"PREX2","Block5"
"C8orf34","Block1"
"SULF1","Block2"
"SLCO5A1","Block1"
"NCOA2","Block2"
"TRAM1","Block1"
"LACTB2-AS1","Block1"
"LACTB2","Block1"
"XKR9","Block6"
"EYA1","Block4"
"MSC-AS1","Block4"
"TRPA1","Block4"
"KCNB2","Block3"
"TERF1","Block2"
"SBSPON","Block6"
"C8orf89","Block5"
"RPL7","Block1"
"RDH10","Block2"
"RDH10-AS1","Block2"
"STAU2-AS1","Block2"
"STAU2","Block1"
"UBE2W","Block3"
"TMEM70","Block1"
"LY96","Block4"
"LOC105375903","Block5"
"JPH1","Block1"
"GDAP1","Block3"
"PI15","Block6"
"CRISPLD1","Block1"
"HNF4G","Block2"
"ZFHX4","Block2"
"PEX2","Block1"
"PKIA-AS1","Block3"
"PKIA","Block3"
"ZC2HC1A","Block3"
"IL7","Block5"
"STMN2","Block4"
"HEY1","Block4"
"LINC01607","Block3"
"LOC101927040","Block3"
"MRPS28","Block3"
"TPD52","Block3"
"ZBTB10","Block3"
"ZNF704","Block6"
"PAG1","Block3"
"FABP5","Block1"
"PMP2","Block3"
"FABP4","Block2"
"IMPA1","Block1"
"SLC10A5","Block2"
"ZFAND1","Block3"
"CHMP4C","Block1"
"SNX16","Block1"
"LINC01419","Block2"
"RALYL","Block1"
"LRRCC1","Block2"
"E2F5","Block4"
"CA13","Block6"
"CA1","Block6"
"CA3","Block6"
"CA3-AS1","Block5"
"CA2","Block5"
"ATP6V0D2","Block3"
"WWP1","Block6"
"RMDN1","Block3"
"CPNE3","Block4"
"CNGB3","Block2"
"MMP16","Block2"
"RIPK2","Block4"
"OSGIN2","Block4"
"NBN","Block4"
"DECR1","Block2"
"CALB1","Block6"
"TMEM64","Block6"
"NECAB1","Block2"
"C8orf88","Block1"
"OTUD6B-AS1","Block6"
"OTUD6B","Block3"
"LRRC69","Block5"
"SLC26A7","Block2"
"RUNX1T1","Block4"
"FLJ46284","Block2"
"TRIQK","Block3"
"RBM12B","Block3"
"RBM12B-AS1","Block4"
"TMEM67","Block4"
"PDP1","Block6"
"MIR378D2","Block3"
"CDH17","Block2"
"GEM","Block1"
"RAD54B","Block3"
"FSBP","Block2"
"ESRP1","Block4"
"DPY19L4","Block3"
"INTS8","Block1"
"CCNE2","Block4"
